date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:34	5746/5746	---M--	200	added ('OK')	image/svg+xml	etag:%22f78a91578e7b934aba25824773bdb6b3%22	http://famous.org/framework/assets/images/famous-logo-text.svg	./famous.org/framework/assets/images/famous-logo-text.svg	(from http://famous.org/framework/)
17:20:36	14010/14010	---M--	200	added ('OK')	text/html	etag:%22348c21c3bab870d2ae1a8db8be58f7f0%22	http://famous.org/framework/hello-framework.html	./famous.org/framework/hello-framework.html	(from http://famous.org/framework/)
17:20:38	10342/10342	---M--	200	added ('OK')	text/html	etag:%221c05009e454772494efd942ad4ce03dd%22	http://famous.org/framework/getting-started.html	./famous.org/framework/getting-started.html	(from http://famous.org/framework/)
17:20:40	17710/17710	---M--	200	added ('OK')	text/html	etag:%22996e66ba78bc88f3cd71fd34f7b94afd%22	http://famous.org/framework/core-concepts.html	./famous.org/framework/core-concepts.html	(from http://famous.org/framework/)
17:20:42	17595/17595	---M--	200	added ('OK')	text/html	etag:%226f3c2d9e9ed472fec3c668b9ff97ab60%22	http://famous.org/framework/behaviors.html	./famous.org/framework/behaviors.html	(from http://famous.org/framework/)
17:20:44	17937/17937	---M--	200	added ('OK')	text/html	etag:%220e05e5632da1487a727cace4ae64c455%22	http://famous.org/framework/events.html	./famous.org/framework/events.html	(from http://famous.org/framework/)
17:20:46	15603/15603	---M--	200	added ('OK')	text/html	etag:%228dc619828ff223483603c0dfcd1e0f23%22	http://famous.org/framework/states.html	./famous.org/framework/states.html	(from http://famous.org/framework/)
17:20:48	16464/16464	---M--	200	added ('OK')	text/html	etag:%22a1cc6ca5eb732e03cbf76abcf032275b%22	http://famous.org/framework/tree.html	./famous.org/framework/tree.html	(from http://famous.org/framework/)
17:20:50	23154/23154	---M--	200	added ('OK')	text/html	etag:%226d28e4a278df29b01019b06707f2ba0b%22	http://famous.org/framework/layout.html	./famous.org/framework/layout.html	(from http://famous.org/framework/)
17:20:52	17486/17486	---M--	200	added ('OK')	text/html	etag:%228df4942d66317d0e7c8c8fe9e590fe85%22	http://famous.org/framework/control-flow.html	./famous.org/framework/control-flow.html	(from http://famous.org/framework/)
17:20:54	13226/13226	---M--	200	added ('OK')	text/html	etag:%22dfb940e70ea9a22a1c0dcbd0dd9dce7a%22	http://famous.org/framework/includes.html	./famous.org/framework/includes.html	(from http://famous.org/framework/)
17:20:56	13124/13124	---M--	200	added ('OK')	text/html	etag:%22e84cf7b75fc4349073841dca4604c7dc%22	http://famous.org/framework/imports.html	./famous.org/framework/imports.html	(from http://famous.org/framework/)
17:20:58	11203/11203	---M--	200	added ('OK')	text/html	etag:%2220f89756604586703454a9b6cd27a813%22	http://famous.org/framework/static-assets.html	./famous.org/framework/static-assets.html	(from http://famous.org/framework/)
